,台北二綜合農產品批發市場,台北一綜合農產品批發市場,三重區綜合農產品批發市場,桃農綜合農產品批發市場,台中市綜合農產品批發市場,永靖鄉綜合農產品批發市場,溪湖鎮綜合農產品批發市場,南投市綜合農產品批發市場,西螺鎮綜合農產品批發市場,高雄市綜合農產品批發市場,鳳山區綜合農產品批發市場,屏東市綜合農產品批發市場,花蓮市綜合農產品批發市場,台東市綜合農產品批發市場,宜蘭市綜合農產品批發市場,東勢鎮綜合農產品批發市場,台北市場綜合農產品批發市場,嘉義市綜合農產品批發市場,台南市場綜合農產品批發市場,豐原區綜合農產品批發市場,板橋區綜合農產品批發市場
台北二綜合農產品批發市場,0.0,0.0,11.127,44.193,164.69,199.473,193.115,207.661,215.161,352.581,352.469,365.155,156.091,325.153,52.147,160.646,0.0,252.143,307.98,152.232,16.342
台北一綜合農產品批發市場,0.0,0.0,11.127,44.193,164.69,199.473,193.115,207.661,215.161,352.581,352.469,365.155,156.091,325.153,52.147,160.646,0.0,252.143,307.98,152.232,16.342
三重區綜合農產品批發市場,10.217,10.217,0.0,31.549,158.708,193.491,187.133,201.758,209.18,346.599,346.487,359.173,163.972,333.034,60.028,154.664,10.217,246.161,301.998,146.25,9.991
桃農綜合農產品批發市場,42.292,42.292,31.285,0.0,132.103,166.886,160.528,175.152,182.574,319.993,319.882,332.568,194.46,478.537,90.517,128.058,42.292,219.556,275.393,119.645,30.036
台中市綜合農產品批發市場,170.535,170.535,158.9,130.903,0.0,46.528,40.17,30.635,62.216,199.635,199.524,209.595,314.572,355.564,210.629,33.413,170.535,99.197,155.035,19.47,150.147
永靖鄉綜合農產品批發市場,205.521,205.521,193.886,165.888,37.671,0.0,9.016,19.75,21.534,163.169,163.057,175.743,349.558,321.712,245.614,68.399,205.521,62.731,118.568,54.456,185.133
溪湖鎮綜合農產品批發市場,199.79,199.79,188.154,160.157,39.913,8.956,0.0,28.445,25.545,162.965,162.853,175.539,343.826,321.508,239.883,62.667,199.79,62.527,118.364,48.724,179.401
南投市綜合農產品批發市場,214.15,214.15,192.023,164.026,29.738,20.813,30.432,0.0,52.478,183.652,183.54,180.74,209.304,326.71,254.244,56.76,214.15,69.094,135.273,42.395,193.762
西螺鎮綜合農產品批發市場,220.981,220.981,209.346,181.348,61.104,24.232,25.611,49.636,0.0,145.192,145.08,157.766,365.018,303.735,261.075,83.859,220.981,44.754,100.591,69.916,200.593
高雄市綜合農產品批發市場,358.839,358.839,347.203,319.206,198.962,162.089,163.468,183.987,145.538,0.0,7.835,19.557,331.656,166.241,398.932,221.716,358.839,114.559,59.983,207.773,338.45
鳳山區綜合農產品批發市場,359.803,359.803,348.168,320.17,199.926,163.054,164.433,184.952,146.502,9.468,0.0,14.521,326.446,161.031,399.896,222.681,359.803,115.524,60.948,208.738,339.415
屏東市綜合農產品批發市場,371.808,371.808,360.172,332.175,209.69,175.058,176.437,181.92,158.507,19.74,14.599,0.0,319.461,154.046,411.901,234.685,371.808,117.218,76.731,220.742,351.419
花蓮市綜合農產品批發市場,155.356,155.356,163.249,195.556,315.458,350.241,343.883,210.115,365.93,331.859,326.306,319.408,0.0,167.378,108.656,311.414,155.356,402.911,458.748,303.0,170.681
台東市綜合農產品批發市場,324.067,324.067,331.959,476.49,354.006,319.374,320.753,326.236,302.822,165.892,160.338,153.44,167.389,0.0,277.367,379.001,324.067,261.533,221.046,365.058,339.392
宜蘭市綜合農產品批發市場,51.818,51.818,59.71,92.018,211.92,246.703,240.345,254.891,262.391,399.811,399.699,412.385,108.111,277.174,0.0,207.876,51.818,299.373,355.21,199.462,67.143
東勢鎮綜合農產品批發市場,166.555,166.555,154.919,126.922,34.258,69.041,62.683,56.622,84.729,222.149,222.037,234.723,310.592,380.692,206.648,0.0,166.555,121.711,177.548,12.084,146.167
台北市場綜合農產品批發市場,0.0,0.0,11.127,44.193,164.69,199.473,193.115,207.661,215.161,352.581,352.469,365.155,156.091,325.153,52.147,160.646,0.0,252.143,307.98,152.232,16.342
嘉義市綜合農產品批發市場,257.907,257.907,246.271,218.274,97.015,61.158,62.537,69.245,44.606,114.056,113.945,115.409,401.943,261.379,298.0,120.784,257.907,0.0,69.456,106.841,237.519
台南市場綜合農產品批發市場,314.187,314.187,302.552,274.554,154.31,117.438,118.817,140.319,100.886,67.512,67.4,79.748,458.224,225.718,354.281,177.065,314.187,69.908,0.0,163.122,293.799
豐原區綜合農產品批發市場,157.45,157.45,145.814,117.817,20.453,55.236,48.878,49.785,70.924,208.344,208.232,220.918,301.486,366.887,197.543,12.072,157.45,107.906,163.743,0.0,137.062
板橋區綜合農產品批發市場,17.372,17.372,10.126,30.674,150.576,185.36,179.002,193.548,201.048,338.467,338.356,351.041,170.046,497.011,66.103,146.532,17.372,238.029,293.867,138.119,0.0
