,place,lat,lng
0,新北市,25.0169826,121.4627868
1,台北市,25.0329636,121.5654268
2,桃園市,24.9917033,121.2989587
3,台中市,24.1477358,120.6736482
4,台南市,22.9998999,120.2268758
5,高雄市,22.6272784,120.3014353
6,宜蘭縣,24.7021073,121.7377502
7,新竹縣,24.8387226,121.0177246
8,苗栗縣,24.560159,120.8214265
9,彰化縣,24.0517963,120.5161352
10,南投縣,23.9609981,120.9718638
11,雲林縣,23.7092033,120.4313373
12,嘉義縣,23.4518428,120.2554615
13,屏東縣,22.5519759,120.5487597
14,台東縣,22.7972447,121.0713702
15,花蓮縣,23.9871589,121.6015714
16,澎湖縣,23.5711899,119.5793157
17,基隆市,25.1276033,121.7391833
18,新竹市,24.8138287,120.9674798
19,嘉義市,23.4800751,120.4491113
20,金門縣,24.34877912595629,118.3285644254523
21,連江縣,26.1505556,119.9288889
22,桃園縣,24.9936281,121.3009798
23,台北二綜合農產品批發市場,25.0171516,121.4971699
24,台北一綜合農產品批發市場,25.017135,121.497064
25,三重區綜合農產品批發市場,25.0651733,121.4864902
26,桃農綜合農產品批發市場,24.9903818,121.2691763
27,台中市綜合農產品批發市場,24.199446,120.658159
28,永靖鄉綜合農產品批發市場,23.92279199999999,120.5501236
29,溪湖鎮綜合農產品批發市場,23.95727,120.4860668
30,南投市綜合農產品批發市場,24.9903818,121.2691763
31,西螺鎮綜合農產品批發市場,23.7960918,120.4588725
32,高雄市綜合農產品批發市場,22.6442746,120.3159823
33,鳳山區綜合農產品批發市場,22.613745,120.3525609
34,屏東市綜合農產品批發市場,22.6524114,120.4800834
35,花蓮市綜合農產品批發市場,23.9842403,121.5860356
36,台東市綜合農產品批發市場,22.7709722,121.1379519
37,宜蘭市綜合農產品批發市場,24.7374414,121.7760015
38,東勢鎮綜合農產品批發市場,24.2512366,120.8276914
39,台北市場綜合農產品批發市場,25.017135,121.497064
40,嘉義市綜合農產品批發市場,23.4979824,120.4270287
41,台南市場綜合農產品批發市場,23.0450258,120.1992615
42,豐原區綜合農產品批發市場,24.2527249,120.7034052
43,板橋區綜合農產品批發市場,25.0200956,121.4493557
